ActivityID;ActivityArea;ActivityParent;ActivityLevel;ActivityName_[ENG];ActivityName_[HRV];ActivityName_[BIH];ActivityName_[SRB];ActivityName_[SVN]
A;A;NULL;1;AGRICULTURE, FORESTRY AND FISHING;POLJOPRIVREDA, ŠUMARSTVO I RIBARSTVO;POLJOPRIVREDA, ŠUMARSTVO I RIBOLOV;POLJOPRIVREDA, ŠUMARSTVO I RIBARSTVO;KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO
B;B;NULL;1;MINING AND QUARRYING;RUDARSTVO I VAÐENJE;VAÐENJE RUDA I KAMENA;RUDARSTVO;RUDARSTVO
C;C;NULL;1;MANUFACTURING;PRERAÐIVAÈKA INDUSTRIJA;PRERAÐIVAÈKA INDUSTRIJA;PRERAÐIVAÈKA INDUSTRIJA;PREDELOVALNE DEJAVNOSTI
D;D;NULL;1;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;OPSKRBA ELEKTRIÈNOM ENERGIJOM, PLINOM, PAROM I KLIMATIZACIJA;PROIZVODNJA I SNABDIJEVANJE ELEKTRIÈNOM ENERGIJOM, PLINOM, PAROM I KLIMATIZACIJA;SNABDEVANJE ELEKTRIÈNOM ENERGIJOM, GASOM, PAROM I KLIMATIZACIJA;OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO
E;E;NULL;1;WATER SUPPLY, SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES;"OPSKRBA VODOM; UKLANJANJE OTPADNIH VODA, GOSPODARENJE OTPADOM";"SNABDIJEVANJE  VODOM;  UKLANJANJE  OTPADNIH  VODA, UPRAVLJANJE OTPADOM TE DJELATNOSTI SANACIJE OKOLIŠA";"SNABDEVANJE VODOM; UPRAVLJANJE OTPADNIM VODAMA, KONTROLISANJE PROCESA UKLANJANJA OTPADA I SLIÈNE AKTIVNOSTI";OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA
F;F;NULL;1;CONSTRUCTION;GRAÐEVINARSTVO;GRAÐEVINARSTVO;GRAÐEVINARSTVO;GRADBENIŠTVO
G;G;NULL;1;"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";"TRGOVINA NA VELIKO I NA MALO; POPRAVAK MOTORNIH VOZILA I MOTOCIKALA";"TRGOVINA NA VELIKO I NA MALO; POPRAVAK MOTORNIH VOZILA I MOTOCIKALA";"TRGOVINA NA VELIKO I TRGOVINA NA MALO; POPRAVKA MOTORNIH VOZILA I MOTOCIKALA";TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL
H;H;NULL;1;TRANSPORTATION AND STORAGE;PRIJEVOZ I SKLADIŠTENJE;PRIJEVOZ I SKLADIŠTENJE;SAOBRAÆAJ I SKLADIŠTENJE;PROMET IN SKLADIŠÈENJE
I;I;NULL;1;ACCOMMODATION AND FOOD SERVICE ACTIVITIES;DJELATNOSTI PRUŽANJA SMJEŠTAJA TE PRIPREME I USLUŽIVANJA HRANE;DJELATNOSTI PRUŽANJA SMJEŠTAJA TE PRIPREME I USLUŽIVANJA HRANE (HOTELIJERSTVO I UGOSTITELJSTVO);USLUGE SMEŠTAJA I ISHRANE;GOSTINSTVO
J;J;NULL;1;INFORMATION AND COMMUNICATION;INFORMACIJE I KOMUNIKACIJE;INFORMACIJE I KOMUNIKACIJE;INFORMISANJE I KOMUNIKACIJE;INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI
K;K;NULL;1;FINANCIAL AND INSURANCE ACTIVITIES;FINANCIJSKE DJELATNOSTI I DJELATNOSTI OSIGURANJA;FINANSIJSKE DJELATNOSTI I DJELATNOSTI OSIGURANJA;FINANSIJSKE DELATNOSTI I DELATNOST OSIGURANJA;FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI
L;L;NULL;1;REAL ESTATE ACTIVITIES;POSLOVANJE NEKRETNINAMA;POSLOVANJE NEKRETNINAMA;POSLOVANJE NEKRETNINAMA;POSLOVANJE Z NEPREMIÈNINAMI
M;M;NULL;1;PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES;STRUÈNE, ZNANSTVENE I TEHNIÈKE DJELATNOSTI;STRUÈNE, NAUÈNE I TEHNIÈKE DJELATNOSTI;STRUÈNE, NAUÈNE, INOVACIONE I TEHNIÈKE DELATNOSTI;STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI
N;N;NULL;1;ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES;ADMINISTRATIVNE I POMOÆNE USLUŽNE DJELATNOSTI;ADMINISTRATIVNE I POMOÆNE USLUŽNE DJELATNOSTI;ADMINISTRATIVNE I POMOÆNE USLUŽNE DELATNOSTI;DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI
O;O;NULL;1;"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY";"JAVNA UPRAVA I OBRANA; OBVEZNO SOCIJALNO OSIGURANJE";"JAVNA UPRAVA I ODBRANA; OBAVEZNO SOCIJALNO OSIGURANJE";"DRŽAVNA UPRAVA I ODBRANA; OBAVEZNO SOCIJALNO OSIGURANJE";DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI
P;P;NULL;1;EDUCATION;OBRAZOVANJE;OBRAZOVANJE;OBRAZOVANJE;IZOBRAŽEVANJE
Q;Q;NULL;1;HUMAN HEALTH AND SOCIAL WORK ACTIVITIES;DJELATNOSTI ZDRAVSTVENE ZAŠTITE I SOCIJALNE SKRBI;DJELATNOSTI ZDRAVSTVENE I SOCIJALNE ZAŠTITE;ZDRAVSTVENA I SOCIJALNA ZAŠTITA;ZDRAVSTVO IN SOCIALNO VARSTVO
